Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Make It with You,tl,2,10.0,1/13/2020,3/13/2020,false,31.822,Drama
A Soldier's Heart,tl,2,10.0,1/20/2020,9/18/2020,false,28.112,Action & Adventure, Drama
Luv is: Caught in His Arms,tl,1,10.0,1/16/2023,3/10/2023,true,8.1,Comedy, Drama
My Love From The Star,tl,1,10.0,5/29/2017,8/11/2017,false,21.28,Drama, Comedy, Sci-Fi & Fantasy
Pantaxa Laiya,tl,1,10.0,4/23/2023,5/28/2023,true,23.073,Reality
BetCin,tl,1,10.0,10/15/2021,11/26/2021,false,1.917,Comedy, Drama
The Blood Sisters,tl,1,10.0,2/12/2018,8/17/2018,false,39.96,Action & Adventure, Mystery
Wattpad Presents A Rose Between Two Thorns,tl,1,10.0,11/9/2015,11/9/2015,false,8.468,
Her Rules, Her No’s,tl,1,10.0,12/14/2020,12/19/2020,false,1.416,Comedy, Drama
The Rain in España,tl,1,10.0,5/1/2023,7/3/2023,false,4.385,Drama, Comedy
Padayon The Series,tl,1,10.0,2/27/2021,4/18/2021,true,0.6,Drama
Gandara: The Beksplorer,tl,1,10.0,4/3/2022,6/5/2022,true,0.6,Reality, Comedy, Drama, Documentary
Taiwan That You Love,tl,1,10.0,9/25/2019,9/25/2019,false,2.107,Comedy, Drama
Endless Love,tl,1,10.0,6/28/2010,10/15/2010,false,18.651,Drama
Fit Check: Confessions of an Ukay Queen,tl,1,10.0,7/6/2023,7/6/2023,false,3.515,Comedy, Drama
The Mysterious Case Of Ana Madrigal,tl,1,10.0,1/20/2016,3/23/2016,true,1.206,Drama
My Extraordinary,tl,1,10.0,8/30/2020,8/30/2020,false,1.136,
My Girl,tl,1,10.0,5/26/2008,9/5/2008,false,11.341,Drama, Comedy
Halik,tl,1,10.0,8/13/2018,6/26/2019,false,27.323,Drama
The Shore,tl,1,10.0,12/10/2020,2/11/2021,true,0.6,Drama
Raising Mama,tl,1,10.0,4/25/2022,7/29/2022,false,2.911,Drama, Family
Kailangan Ko'y Ikaw,tl,1,10.0,1/21/2013,4/19/2013,false,20.36,Crime, Drama, Action & Adventure
Marinara,tl,1,10.0,6/21/2004,10/1/2004,false,4.439,Sci-Fi & Fantasy, Comedy, Drama
Bagman,tl,1,10.0,3/20/2019,12/4/2019,true,2.928,Action & Adventure, Drama
Darna,tl,0,10.0,8/10/2009,2/19/2010,false,41.869,Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy
Encantadia,tl,3,9.7,7/18/2016,5/19/2017,false,40.498,Drama, Sci-Fi & Fantasy, Action & Adventure
My Husband's Lover,tl,4,9.5,6/10/2013,10/18/2013,false,145.73,Drama, Soap
Ilustrado,tl,2,9.5,10/20/2014,11/14/2014,false,5.195,Drama
Pepito Manaloto,tl,2,9.5,3/28/2010,8/28/2022,true,47.191,Family, Comedy
Secret Campus,tl,2,9.5,8/27/2023,9/17/2023,true,0.0,
Running Man Philippines,tl,2,9.5,9/3/2022,12/18/2022,true,8.928,Reality, Comedy
Amaya,tl,2,9.5,5/30/2011,1/13/2012,false,29.867,Drama, Action & Adventure
Fast Talk with Boy Abunda,tl,2,9.5,1/23/2023,10/3/2023,true,89.54,Reality
Bakekang,tl,2,9.5,9/11/2006,3/30/2007,false,42.416,Action & Adventure, Drama
Secrets of Urduja,tl,3,9.3,2/27/2023,5/8/2023,true,14.466,Drama, Sci-Fi & Fantasy
The Rich Man's Daughter,tl,3,9.0,5/11/2015,8/7/2015,false,53.131,Drama, Family
Reel Love Presents Tween Hearts,tl,2,9.0,9/26/2010,6/10/2012,false,30.685,Drama
Till I Met You,tl,2,9.0,8/29/2016,1/8/2017,true,39.273,Comedy, Drama
Magkaagaw,tl,2,9.0,10/21/2019,3/31/2021,false,27.311,Crime, Drama
Circus,tl,2,9.0,1/21/2018,4/15/2018,false,4.27,Drama, Sci-Fi & Fantasy
First Lady,tl,2,9.0,2/14/2022,6/30/2022,false,5.365,Drama, Family, Comedy
Meant To Be,tl,2,9.0,1/9/2017,6/21/2017,false,21.349,Comedy
Mano po Legacy: The Flower Sisters,tl,2,9.0,10/31/2022,1/16/2023,true,36.383,Drama, Family
Rainbow Prince,tl,1,9.0,1/15/2022,3/19/2022,false,2.208,Drama
Article 247,tl,1,9.0,3/7/2022,6/3/2022,false,38.17,Drama, Mystery
Love You Stranger,tl,1,9.0,6/6/2022,8/11/2022,false,16.652,Mystery, Drama
False Positive,tl,1,9.0,5/2/2022,5/30/2022,false,9.495,Reality, Drama, Comedy
Hearts On Ice,tl,1,9.0,3/6/2023,6/16/2023,false,42.914,Drama
Walang Matigas na Pulis sa Matinik na Misis,tl,1,9.0,6/4/2023,8/20/2023,false,1.652,Comedy, Drama, Action & Adventure
Widows' Web,tl,1,9.0,2/28/2022,4/29/2022,false,14.593,Drama, Crime, Mystery
