Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Dandubasnamanaya,si,1,10.0,1/1/1995,1/1/1995,false,0.638,Family, Crime
Akalasandya,si,1,10.0,8/1/1995,11/14/1995,false,1.004,Sci-Fi & Fantasy, Action & Adventure
Thanamalvila Kollek,si,1,9.0,1/19/2020,4/25/2020,true,2.311,
Koombiyo,si,4,7.8,8/26/2017,8/26/2017,true,0.717,Drama, Crime
Ganga Dige,si,0,0.0,,,false,0.6,Documentary
The Ants,si,0,0.0,8/26/2017,10/1/2017,false,0.635,Crime, Drama, War & Politics
