Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Tamizh Kadavul Murugan,ta,1,10.0,10/2/2017,10/2/2017,true,0.6,
Rak Rai,ta,1,10.0,11/1/2017,12/26/2017,true,0.894,Drama, Crime
Chinna Thambi,ta,1,10.0,10/2/2017,1/1/2019,true,8.512,Drama, Comedy
Marmadesam: Vidaathu Karuppu,ta,1,10.0,1/2/1997,1/2/1997,true,0.6,
Kuthukku Pathu,ta,2,9.0,5/13/2022,5/13/2022,false,1.719,Comedy
Akash Vaani,ta,1,9.0,2/11/2022,2/11/2022,true,4.686,Comedy, Family
Ramany Vs Ramany 3.0,ta,1,9.0,1/29/1998,5/20/2022,true,2.244,Comedy
Cooku with Comali,ta,3,8.7,11/16/2019,7/2/2023,true,55.979,Reality, Comedy
Vilangu,ta,6,8.667,2/18/2022,2/18/2022,false,2.826,Crime, Drama, Mystery
Sweet Kaaram Coffee,ta,2,8.0,7/6/2023,7/6/2023,false,2.669,Comedy, Family
Iru Dhuruvam,ta,2,8.0,9/29/2019,2/24/2023,true,0.857,
Victim,ta,1,8.0,8/5/2022,8/5/2022,false,2.309,Mystery, Comedy, Drama
Anantham,ta,1,8.0,4/22/2022,4/22/2022,true,4.011,Drama
Thendral Vanthu Ennai Thodum,ta,1,8.0,8/16/2021,8/17/2021,true,2.07,
Auto Shankar,ta,1,8.0,4/23/2019,4/23/2019,true,3.349,Crime
November Story,ta,9,7.5,5/19/2021,5/19/2021,false,3.885,Crime, Mystery
Live Telecast,ta,2,7.5,2/12/2021,2/12/2021,false,2.401,Crime, Mystery
Paava Kadhaigal,ta,16,7.469,12/18/2020,12/18/2020,false,5.631,Family, Drama
Fingertip,ta,3,7.3,8/21/2019,6/17/2022,false,2.215,Crime, Drama
Ayali,ta,4,7.25,1/26/2023,1/26/2023,false,3.918,Drama
Triples,ta,4,7.2,12/11/2020,12/11/2020,false,3.038,Comedy, Drama
TamilRockerz,ta,5,7.1,8/19/2022,8/19/2022,true,4.042,Crime, Drama
Nila Nila Odi Vaa,ta,2,7.0,7/24/2018,7/24/2018,true,1.311,Comedy
Pettaikaali,ta,1,7.0,10/21/2022,12/9/2022,false,2.669,Action & Adventure, Mystery
Mathagam,ta,1,7.0,8/18/2023,8/18/2023,true,4.56,Crime
Emoji,ta,1,7.0,8/12/2022,8/12/2022,true,7.706,Comedy, Drama
Story of Things,ta,1,7.0,1/6/2023,1/6/2023,false,1.463,Mystery
Accidental Farmer & Co.,ta,1,7.0,3/10/2023,3/10/2023,false,2.552,Comedy, Drama
Oru Kodai Murder Mystery,ta,1,7.0,4/21/2023,4/21/2023,true,1.679,Mystery, Crime
Kallachirippu,ta,1,7.0,7/22/2018,7/23/2018,false,1.46,
Modern Love Chennai,ta,6,6.8,5/18/2023,5/18/2023,false,9.754,Comedy, Drama
Queen,ta,3,6.7,12/14/2019,12/14/2019,true,7.517,Drama
Vella Raja,ta,6,6.5,12/6/2018,12/6/2018,false,1.492,Drama
Vadhandhi,ta,4,6.5,12/2/2022,12/2/2022,false,3.43,Mystery, Crime, Drama
Inspector Rishi,ta,3,6.3,3/29/2024,3/29/2024,true,30.336,Mystery, Action & Adventure, Drama
Suzhal - The Vortex,ta,19,6.211,6/17/2022,6/17/2022,true,6.116,Crime, Mystery
As I'm Suffering From Kadhal,ta,3,6.0,6/15/2017,6/15/2017,true,3.398,Comedy
Time Enna Boss!?,ta,3,5.7,9/18/2020,9/18/2020,false,2.625,Comedy
Navarasa,ta,11,5.636,8/6/2021,8/6/2021,false,4.607,Drama
Irai,ta,3,5.3,2/18/2022,2/18/2022,true,2.689,Crime, Drama, Mystery
Paper Rocket,ta,2,5.0,7/29/2022,7/29/2022,true,2.747,Comedy, Drama, Family
Meme Boys,ta,2,5.0,7/22/2022,7/22/2022,true,0.739,Comedy, Drama
Putham Pudhu Kaalai Vidiyaadhaa,ta,2,5.0,1/14/2022,1/14/2022,true,3.126,Drama
Mugilan,ta,1,5.0,10/30/2020,10/30/2020,true,0.97,
MY3,ta,1,5.0,9/15/2023,9/15/2023,false,16.439,Comedy, Sci-Fi & Fantasy
Sengalam,ta,2,4.5,3/24/2023,3/24/2023,false,1.276,Crime, Drama, War & Politics
Engga Hostel,ta,2,4.5,1/26/2023,1/26/2023,true,1.978,Comedy, Drama
Bigg Boss,ta,9,3.8,6/25/2017,10/12/2022,true,0.6,Reality
Fall,ta,2,3.5,12/9/2022,12/23/2022,true,2.832,Crime, Mystery
Karoline Kamakshi,ta,1,3.0,12/5/2019,12/5/2019,true,1.715,Comedy, Action & Adventure
