Name,Original_Language,Vote_Count,Vote_Average,First_Air_Date,Last_Air_Date,In_Production,Popularity,Genres
Yowis Ben: The Series,jv,1,7.0,9/18/2020,10/16/2020,false,3.565,Drama, Comedy
Tilik the Series,jv,0,0.0,3/31/2023,5/19/2023,false,1.935,Comedy, Drama
In a Distant Time OVA,jv,0,0.0,3/27/2002,2/2/2005,false,0.706,
